Timestamp,Event,FPS,Edge_Latency_ms,WiFi_Latency_ms,Total_Latency_ms
05:40:54.919,COMMAND_SENT,21.07,33.68,136.82,170.50
05:41:01.739,COMMAND_SENT,21.42,34.38,117.40,151.78
05:41:08.256,COMMAND_SENT,21.36,36.73,225.25,261.98
05:41:13.417,COMMAND_SENT,20.40,36.21,133.21,169.42
05:41:18.540,COMMAND_SENT,20.94,35.88,172.79,208.66
05:41:23.555,COMMAND_SENT,20.46,35.92,139.19,175.11
05:41:31.545,COMMAND_SENT,16.25,34.52,139.31,173.82
05:41:37.696,COMMAND_SENT,21.49,34.51,226.19,260.71
05:41:42.908,COMMAND_SENT,21.46,35.56,37.39,72.95
05:41:48.147,COMMAND_SENT,20.67,33.95,253.44,287.39
05:41:53.197,COMMAND_SENT,20.30,35.97,182.24,218.20
05:41:58.388,COMMAND_SENT,20.55,34.90,155.22,190.12
05:42:05.168,COMMAND_SENT,21.00,34.20,346.10,380.29
05:42:11.302,COMMAND_SENT,20.67,35.65,37.58,73.23
05:42:19.051,COMMAND_SENT,21.27,34.44,78.15,112.59
05:42:25.219,COMMAND_SENT,21.40,33.68,167.61,201.28
05:42:30.450,COMMAND_SENT,21.22,34.68,111.62,146.30
05:42:36.266,COMMAND_SENT,20.08,36.64,133.84,170.48
05:42:41.301,COMMAND_SENT,20.58,36.31,137.54,173.85
05:42:46.915,COMMAND_SENT,21.76,34.20,137.60,171.81
05:42:59.496,COMMAND_SENT,21.12,35.45,48.76,84.21
05:43:04.626,COMMAND_SENT,21.22,34.95,75.13,110.08
05:43:09.945,COMMAND_SENT,21.27,42.57,166.04,208.61
05:43:15.267,COMMAND_SENT,19.47,34.58,39.91,74.49
05:43:20.505,COMMAND_SENT,20.15,36.89,106.41,143.30
05:43:25.509,COMMAND_SENT,21.83,34.45,35.50,69.94
05:45:28.593,COMMAND_SENT,21.11,35.61,123.38,158.99
05:45:33.817,COMMAND_SENT,21.66,35.93,85.37,121.29
05:45:40.884,COMMAND_SENT,21.41,34.21,91.46,125.67
05:45:46.313,COMMAND_SENT,21.54,34.77,78.70,113.48
05:45:52.353,COMMAND_SENT,20.74,35.06,62.03,97.09
05:45:57.477,COMMAND_SENT,21.21,34.00,89.27,123.27
05:46:03.115,COMMAND_SENT,20.55,36.24,82.98,119.22
05:46:08.632,COMMAND_SENT,21.09,34.95,110.85,145.80
05:46:13.653,COMMAND_SENT,20.60,35.21,79.07,114.28
05:46:18.715,COMMAND_SENT,20.71,34.82,89.00,123.82
05:46:24.300,COMMAND_SENT,19.26,42.52,149.10,191.62
05:46:34.716,COMMAND_SENT,21.76,33.69,141.41,175.11
05:46:41.501,COMMAND_SENT,20.29,34.12,78.68,112.80
05:46:47.638,COMMAND_SENT,20.54,36.94,344.77,381.71
05:46:52.666,COMMAND_SENT,21.68,34.13,156.46,190.58
05:46:58.028,COMMAND_SENT,21.32,35.35,196.58,231.93
05:47:07.903,COMMAND_SENT,20.62,33.89,162.55,196.44
05:47:13.548,COMMAND_SENT,20.41,36.26,139.12,175.39
